"age","credithistory","creditstatus","customerid","id","paymenthistory","callreason","customervalue","frequentcaller","customername","gender","income","clvsegment","zipcode","circleid","startingmember"
63,"Repaid on time","Clear","CE-3",NA,"Same week",NA,NA,"No","Travis Dixon","m",66761,NA,33783,"CI-1","No"
40,"Paid on time","Due payment","CE-5",NA,"Same month",NA,NA,"Yes","Jessica Bolin","f",54713,NA,20251,"CI-1","No"
46,"Past arrears","Clear","CE-11",NA,"Same month",NA,NA,"No","Emily Cooley","f",57363,NA,39344,"CI-1","No"
56,"Past arrears","Due payment","CE-13",NA,"Same month",NA,NA,"No","Micaela Mcmichael","f",63016,NA,41886,"CI-1","No"
64,"Paid on time","Clear","CE-15",NA,"Same day",NA,NA,"No","Scott Eha","m",92777,NA,24424,"CI-1","No"
41,"Past arrears","Due payment","CE-18",NA,"Same month",NA,NA,"Yes","Alexander Herlin","m",41465,NA,16740,"CI-1","No"
59,"Paid on time","Due payment","CE-21",NA,"Same day",NA,NA,"Yes","Malia Murphy","f",51447,NA,36258,"CI-1","No"
47,"Repaid on time","Clear","CE-29",NA,"Same day",NA,NA,"No","Kyle Mcclelland","m",47596,NA,36563,"CI-1","No"
19,"Paid on time","Clear","CE-31",NA,"Same week",NA,NA,"Yes","Kevin Nissan","m",14210,NA,21807,"CI-1","No"
63,"Past arrears","Due payment","CE-32",NA,"Same week",NA,NA,"No","Garrett Brack","m",56276,NA,21416,"CI-1","No"
40,"Repaid on time","Clear","CE-37",NA,"Same day",NA,NA,"Yes","Tyler Rohr","m",50117,NA,15723,"CI-1","No"
18,"Paid on time","Clear","CE-49",NA,"Same day",NA,NA,"Yes","Jesse Lang","m",12447,NA,12951,"CI-1","No"
62,"Past arrears","Due payment","CE-51",NA,"Same week",NA,NA,"No","Max Golden","m",78475,NA,18419,"CI-1","No"
62,"Paid on time","Due payment","CE-61",NA,"Same week",NA,NA,"Yes","Jessica Cooper","f",69537,NA,21168,"CI-1","No"
51,"Paid on time","Due payment","CE-62",NA,"Same week",NA,NA,"No","Sarah Borchers","f",64586,NA,20948,"CI-1","No"
49,"Repaid on time","Clear","CE-65",NA,"Same week",NA,NA,"Yes","Courtney Blackmore","f",44396,NA,40038,"CI-1","No"
55,"Paid on time","Clear","CE-67",NA,"Same day",NA,NA,"No","Sydney Korn","f",50989,NA,11827,"CI-1","No"
59,"Paid on time","Clear","CE-70",NA,"Same week",NA,NA,"Yes","Randi Quintana","f",70643,NA,23108,"CI-1","No"
30,"Past arrears","Clear","CE-72",NA,"Same month",NA,NA,"No","Zachary Schacht","m",40850,NA,28605,"CI-1","No"
43,"Paid on time","Clear","CE-73",NA,"Same month",NA,NA,"No","Jaimee Jauhiainen","f",44360,NA,20537,"CI-1","No"
64,"Past arrears","Clear","CE-75",NA,"Same month",NA,NA,"Yes","Breeshawna Cross","f",55514,NA,17808,"CI-1","No"
32,"Repaid on time","Due payment","CE-89",NA,"Same day",NA,NA,"Yes","Carly Overman","f",38177,NA,16485,"CI-1","No"
42,"Repaid on time","Clear","CE-94",NA,"Same day",NA,NA,"Yes","Makayla Richardson","f",39997,NA,21128,"CI-1","No"
44,"Repaid on time","Due payment","CE-99",NA,"Same day",NA,NA,"Yes","Iain Thomas","m",57842,NA,26172,"CI-1","No"
64,"Past arrears","Due payment","CE-100",NA,"Same month",NA,NA,"Yes","Randy Goodwin","m",78103,NA,33809,"CI-1","No"
58,"Past arrears","Clear","CE-101",NA,"Same week",NA,NA,"Yes","Canyon Brassea","m",83074,NA,34701,"CI-1","No"
56,"Paid on time","Due payment","CE-102",NA,"Same week",NA,NA,"Yes","Ryan Anthony","m",32798,NA,31427,"CI-1","No"
41,"Repaid on time","Clear","CE-111",NA,"Same week",NA,NA,"Yes","Victoria Vandermeer","f",57685,NA,18100,"CI-1","No"
25,"Repaid on time","Clear","CE-116",NA,"Same day",NA,NA,"Yes","Alison Strauss","f",37665,NA,23377,"CI-1","No"
46,"Repaid on time","Clear","CE-117",NA,"Same day",NA,NA,"Yes","Sierra Kratz","f",78483,NA,34152,"CI-1","No"
21,"Paid on time","Clear","CE-119",NA,"Same week",NA,NA,"Yes","Haley Astifan","f",24929,NA,30795,"CI-1","No"
31,"Repaid on time","Due payment","CE-123",NA,"Same week",NA,NA,"No","Nathan Mccleary","m",34789,NA,26760,"CI-1","No"
48,"Paid on time","Due payment","CE-124",NA,"Same day",NA,NA,"Yes","Charlotte Harris","f",55775,NA,30137,"CI-1","No"
58,"Repaid on time","Clear","CE-125",NA,"Same week",NA,NA,"Yes","Thomas Thomas","m",67661,NA,19379,"CI-1","No"
27,"Paid on time","Due payment","CE-128",NA,"Same day",NA,NA,"Yes","Madilynn Flax","f",32006,NA,38817,"CI-1","No"
53,"Paid on time","Clear","CE-137",NA,"Same day",NA,NA,"No","Annika Pierce","f",46932,NA,20125,"CI-1","No"
25,"Past arrears","Due payment","CE-143",NA,"Same day",NA,NA,"Yes","Sean Corliss","m",31310,NA,40299,"CI-1","No"
48,"Past arrears","Clear","CE-144",NA,"Same month",NA,NA,"Yes","Danielle Cheney","f",74240,NA,21730,"CI-1","No"
57,"Past arrears","Clear","CE-148",NA,"Same month",NA,NA,"No","Sierra King","f",57622,NA,13115,"CI-1","No"
58,"Paid on time","Clear","CE-151",NA,"Same day",NA,NA,"Yes","Wyatt Howland","m",77788,NA,11521,"CI-1","No"
23,"Repaid on time","Clear","CE-152",NA,"Same month",NA,NA,"No","Brianna Carter","f",27520,NA,32607,"CI-1","No"
